bismil بِسْمِ
eaElamu أَعْلَمُ
waEallama وَعَلَّمَ
eAdamal آدَمَ
easmAAea الْأَسْمَاءَ
kullahA كُلَّهَا
EaroMohum عَرَضَهُمْ
Ealal عَلَى
malAAeikati الْمَلَائِكَةِ
faqOla فَقَالَ
eammmbieUnI أَنْبِئُونِي
bieasmAAei بِأَسْمَاءِ
hAAeulAAei هَٰؤُلَاءِ
suBHAnaka سُبْحَانَكَ
Eilma عِلْمَ
lanAA لَنَا
eillA إِلَّا
EallamtanAA عَلَّمْتَنَا
einnaka إِنَّكَ
eaNtal أَنْتَ
EalImu الْعَلِيمُ
lHakIm الْحَكِيمُ
yAAeAdamu يَاآدَمُ
eammmbiehummm أَنْبِئْهُمْ
bieasmAAeihim بِأَسْمَائِهِمْ
eammmbaeahummm أَنْبَأَهُمْ
ealam أَلَمْ
eaqul أَقُلْ
gVbas غَيْبَ
samAwAti السَّمَاوَاتِ
walearMi وَالْأَرْضِ
waeaElamu وَأَعْلَمُ
tubdUna تُبْدُونَ
taktumUn تَكْتُمُونَ
qulnA قُلْنَا
sjudU اسْجُدُوا
lieAdama لِآدَمَ
fasajadUU فَسَجَدُوا
eiBlIsa إِبْلِيسَ
eabA أَبَىٰ
wastakbaro وَاسْتَكْبَرَ
wakAna وَكَانَ
minal مِنَ
kAfirIn الْكَافِرِينَ
waqulnA وَقُلْنَا
skun اسْكُنْ
eaNta أَنْتَ
wazWjukal وَزَوْجُكَ
jannata الْجَنَّةَ
wakulA وَكُلَا
rogodan رَغَدًا
HYvu حَيْثُ
XietumA شِئْتُمَا
walA وَلَا
taQrobA تَقْرَبَا
hAcihiX هَٰذِهِ
Xajarota الشَّجَرَةَ
fatakUnA فَتَكُونَا
minaZ مِنَ
ZOlimIn الظَّالِمِينَ
faeazallahumAX فَأَزَلَّهُمَا
XYpOnu الشَّيْطَانُ
EanhA عَنْهَا
faeaxrojahumA فَأَخْرَجَهُمَا
kAnA كَانَا
hbipU اهْبِطُوا
baEMukum بَعْضُكُمْ
libaEMin لِبَعْضٍ
Eaduwwuww عَدُوٌّ
walakum وَلَكُمْ
mustaqorruww مُسْتَقَرٌّ
wamatAEun وَمَتَاعٌ
HIn حِينٍ
fatalaqqOO فَتَلَقَّىٰ
eAdamu آدَمُ
robbihI رَبِّهِ
kalimAtiN كَلِمَاتٍ
fatAba فَتَابَ
EalYhi عَلَيْهِ
einnahU إِنَّهُ
huwat هُوَ
tawwAbur التَّوَّابُ
roHIm الرَّحِيمُ
faeimmA فَإِمَّا
yaetiyannakumm يَأْتِيَنَّكُمْ
minnI مِنِّي
hudaN هُدًى
famaN فَمَنْ
tabiEa تَبِعَ
hudAya هُدَايَ
xCfun خَوْفٌ
yaHzanUn يَحْزَنُونَ
wakaccabU وَكَذَّبُوا
bieAyAtinAA بِآيَاتِنَا
eaSHAbun أَصْحَابُ
nAri النَّارِ
yAbanII يَابَنِي
eisrOOeIla إِسْرَائِيلَ
ckurU اذْكُرُوا
niEmatiyal نِعْمَتِيَ
latII الَّتِي
eanEamtu أَنْعَمْتُ
EalYkum عَلَيْكُمْ
waeWfU وَأَوْفُوا
biEahdII بِعَهْدِي
eUfi أُوفِ
biEahdikum بِعَهْدِكُمْ
waeiyyAya وَإِيَّايَ
farhabUn فَارْهَبُونِ
waeAminU وَآمِنُوا
eaNzaltu أَنْزَلْتُ
muSoddiqol مُصَدِّقًا
limA لِمَا
takUnUU تَكُونُوا
eawwala أَوَّلَ
kAfirimmm كَافِرٍ
taXtarU تَشْتَرُوا
bieAyAtI بِآيَاتِي
vamanaN ثَمَنًا
qolIlaww قَلِيلًا
fattaqUn فَاتَّقُونِ
talbisU تَلْبِسُوا
lHaqqo الْحَقَّ
bilbApili بِالْبَاطِلِ
wataktumU وَتَكْتُمُوا
waeaqImUS وَأَقِيمُوا
waeAtUz وَآتُوا
zakAta الزَّكَاةَ
warkaEU وَارْكَعُوا
maEar مَعَ
rOkiEIn الرَّاكِعِينَ
eataemurUnan أَتَأْمُرُونَ
nAsa النَّاسَ
bilbirri بِالْبِرِّ
wataNsWna وَتَنْسَوْنَ
eaNfusakum أَنْفُسَكُمْ
tatlUnal تَتْلُونَ
kitAba الْكِتَابَ
eafalA أَفَلَا
taEqilUn تَعْقِلُونَ
wastaEInU وَاسْتَعِينُوا
biSSoBri بِالصَّبْرِ
waSSolAti وَالصَّلَاةِ
waeinnahA وَإِنَّهَا
lakabIrotun لَكَبِيرَةٌ
xOXiEIn الْخَاشِعِينَ
yaZunnUna يَظُنُّونَ
eannahumm أَنَّهُمْ
mulAqU مُلَاقُو
waeannahum وَأَنَّهُمْ
rOjiEUn رَاجِعُونَ
waeannI وَأَنِّي
faMMoltukum فَضَّلْتُكُمْ
wattaqU وَاتَّقُوا
yWmal يَوْمًا
taJzI تَجْزِي
nafsun نَفْسٌ
Eann عَنْ
nafsiN نَفْسٍ
XYeaww شَيْئًا
yuqbalu يُقْبَلُ
XafAEatuww شَفَاعَةٌ
yuexocu يُؤْخَذُ
EaDluww عَدْلٌ
yuNSorUn يُنْصَرُونَ
najjYnAkumm نَجَّيْنَاكُمْ
min مِنْ
eAli آلِ
firEWna فِرْعَوْنَ
yasUmUnakum يَسُومُونَكُمْ
sUUeal سُوءَ
EacAbi الْعَذَابِ
yucabbiHUna يُذَبِّحُونَ
eaBnAAeakum أَبْنَاءَكُمْ
wayastaHyUna وَيَسْتَحْيُونَ
nisAAeakum نِسَاءَكُمْ
wafI وَفِي
cAlikummm ذَٰلِكُمْ
balAAeumm بَلَاءٌ
robbikum رَبِّكُمْ
faroQnA فَرَقْنَا
bikumul بِكُمُ
baHro الْبَحْرَ
faeaNjYnAkum فَأَنْجَيْنَاكُمْ
waeagroQnAA وَأَغْرَقْنَا
eAla آلَ
taNZurUn تَنْظُرُونَ
wAEaDnA وَاعَدْنَا
mUsAA مُوسَىٰ
earbaEIna أَرْبَعِينَ
lYlataN لَيْلَةً
vummat ثُمَّ
taxoctumul اتَّخَذْتُمُ
EiJla الْعِجْلَ
baEdihI بَعْدِهِ
ZOlimUn ظَالِمُونَ
EafWnA عَفَوْنَا
EaNkumm عَنْكُمْ
cAlika ذَٰلِكَ
taXkurUn تَشْكُرُونَ
eAtYnA آتَيْنَا
mUsal مُوسَى
walfurqOna وَالْفُرْقَانَ
tahtadUn تَهْتَدُونَ
mUsA مُوسَىٰ
liqCmihI لِقَوْمِهِ
yAqCmi يَاقَوْمِ
einnakum إِنَّكُمْ
Zolamtum ظَلَمْتُمْ
eaNfusakummm أَنْفُسَكُمْ
bittixOcikumul بِاتِّخَاذِكُمُ
fatUbUU فَتُوبُوا
bArieikum بَارِئِكُمْ
faQtulUU فَاقْتُلُوا
cAlikum ذَٰلِكُمْ
xVrul خَيْرٌ
EiNda عِنْدَ
qultum قُلْتُمْ
yAmUsA يَاقَوْمِ
lann لَنْ
nuemina نُؤْمِنَ
HattA حَتَّىٰ
narVl نَرَى
laha اللَّهَ
jahrotaN جَهْرَةً
faeaxocatkumuS فَأَخَذَتْكُمُ
SOEiqotu الصَّاعِقَةُ
baEavnAkumm بَعَثْنَاكُمْ
mWtikum مَوْتِكُمْ
waZollalnA وَظَلَّلْنَا
EalYkumul عَلَيْكُمُ
gomAma الْغَمَامَ
waeaNzalnA وَأَنْزَلْنَا
manna الْمَنَّ
wassalwA وَالسَّلْوَىٰ
kulU كُلُوا
poyyibAti طَيِّبَاتِ
rozaQnAkum رَزَقْنَاكُمْ
ZolamUnA ظَلَمُونَا
walAkiN وَلَٰكِنْ
kAnUU كَانُوا
yaZlimUn يَظْلِمُونَ
qulnAD قُلْنَا
xulU ادْخُلُوا
hAcihil هَٰذِهِ
qoryata الْقَرْيَةَ
fakulU فَكُلُوا
Xietum شِئْتُمْ
rogodaww رَغَدًا
waDxulUl وَادْخُلُوا
bAba الْبَابَ
sujjadaww سُجَّدًا
waqUlU وَقُولُوا
Hippotunn حِطَّةٌ
nagfir نَغْفِرْ
xopOyAkum خَطَايَاكُمْ
wasanazIdul وَسَنَزِيدُ
muHsinIn الْمُحْسِنِينَ
fabaddalal فَبَدَّلَ
ZolamU ظَلَمُوا
qClan قَوْلًا
gVrol غَيْرَ
faeaNzalnA فَأَنْزَلْنَا
riJzamm رِجْزًا
yafsuqUn يَفْسُقُونَ
waeici وَإِذِ
stasqO اسْتَسْقَىٰ
faqulnA فَقُلْنَا
MriB اضْرِبْ
biEaSOka بِعَصَاكَ
lHajaro الْحَجَرَ
faNfajarot فَانْفَجَرَتْ
minhu مِنْهُ
vnatA اثْنَتَا
EaXrota عَشْرَةَ
EYnaN عَيْنًا
qoD قَدْ
Ealima عَلِمَ
kullu كُلُّ
eunAsimm أُنَاسٍ
maXrobahum مَشْرَبَهُمْ
waXrobU وَاشْرَبُوا
rizqil رِزْقِ
taEvW تَعْثَوْا
mufsidIn مُفْسِدِينَ
naSbiro نَصْبِرَ
poEAmiww طَعَامٍ
wAHidiN وَاحِدٍ
faDEu فَادْعُ
lanA لَنَا
robbaka رَبَّكَ
yuxriJ يُخْرِجْ
tummmbitul تُنْبِتُ
earMu الْأَرْضُ
baQlihA بَقْلِهَا
waqivvAAeihA وَقِثَّائِهَا
wafUmihA وَفُومِهَا
waEadasihA وَعَدَسِهَا
wabaSolihA وَبَصَلِهَا
eatastabdilUnal أَتَسْتَبْدِلُونَ
huwa هُوَ
eaDnA أَدْنَىٰ
billacI بِالَّذِي
xVrun خَيْرٌ
miSroN مِصْرًا
faeinna فَإِنَّ
saealtum سَأَلْتُمْ
waMuribat وَضُرِبَتْ
EalYhimuc عَلَيْهِمُ
cillatu الذِّلَّةُ
walmaskanatu وَالْمَسْكَنَةُ
wabAAeU وَبَاءُوا
bigoMobimm بِغَضَبٍ
minaL مِنَ
bieannahum بِأَنَّهُمْ
yakfurUna يَكْفُرُونَ
bieAyAtil بِآيَاتِ
wayaQtulUnan وَيَقْتُلُونَ
nabiyyIna النَّبِيِّينَ
bigVri بِغَيْرِ
lHaqqi الْحَقِّ
EaSow عَصَوْا
wakAnU وَكَانُوا
yaEtadUn يَعْتَدُونَ
hAdU هَادُوا
wannaSOrO وَالنَّصَارَىٰ
waSSObieIna وَالصَّابِئِينَ
man مَنْ
eAmana آمَنَ
walyWmil وَالْيَوْمِ
waEamila وَعَمِلَ
SOliHaN صَالِحًا
falahum فَلَهُمْ
eaJruhum أَجْرُهُمْ
eaxocnA أَخَذْنَا
mIvAqokum مِيثَاقَكُمْ
warofaEnA وَرَفَعْنَا
fWqokumup فَوْقَكُمُ
pUro الطُّورَ
xucU خُذُوا
eAtYnAkummm آتَيْنَاكُمْ
biquwwatiww بِقُوَّةٍ
wackurU وَاذْكُرُوا
tawallYtumm تَوَلَّيْتُمْ
falWlA فَلَوْلَا
faMluL فَضْلُ
waroHmatuhU وَرَحْمَتُهُ
lakuNtumm لَكُنْتُمْ
xOsirIn الْخَاسِرِينَ
walaqoD وَلَقَدْ
Ealimtumul عَلِمْتُمُ
EtadW اعْتَدَوْا
miNkum مِنْكُمْ
fIs فِي
saBti السَّبْتِ
kUnU كُونُوا
qirodatan قِرَدَةً
xOsieIn خَاسِئِينَ
fajaEalnAhA فَجَعَلْنَاهَا
nakAlal نَكَالًا
bYna بَيْنَ
yadYhA يَدَيْهَا
xolfahA خَلْفَهَا
wamWEiZotal وَمَوْعِظَةً
liqCmihII لِقَوْمِهِ
yaemurukum يَأْمُرُكُمْ
eaN أَنْ
tacbaHU تَذْبَحُوا
baqorotaN بَقَرَةً
eatattaxicunA أَتَتَّخِذُنَا
huzuwaN هُزُوًا
eaEUcu أَعُوذُ
ean أَنْ
eakUna أَكُونَ
jAhilIn الْجَاهِلِينَ
qOlUD قَالُوا
Eu ادْعُ
yubayyil يُبَيِّنْ
hiya هِيَ
einnahA إِنَّهَا
baqorotul بَقَرَةٌ
fAriMuww فَارِضٌ
bikrun بِكْرٌ
EawAnummm عَوَانٌ
fafEalU فَافْعَلُوا
tuemarUn تُؤْمَرُونَ
lWnuhA لَوْنُهَا
baqorotuN بَقَرَةٌ
SofrOOeu صَفْرَاءُ
fAqiEul فَاقِعٌ
tasurrun تَسُرُّ
nAZirIn النَّاظِرِينَ
baqoro الْبَقَرَ
taXAbaha تَشَابَهَ
EalYnA عَلَيْنَا
waeinnAA وَإِنَّا
lamuhtadUn لَمُهْتَدُونَ
calUluN ذَلُولٌ
tuvIrul تُثِيرُ
tasqI تَسْقِي
lHarva الْحَرْثَ
musallamatul مُسَلَّمَةٌ
Xiyata شِيَةَ
qOlUl قَالُوا
eAna الْآنَ
jieta جِئْتَ
bilHaqqi بِالْحَقِّ
facabaHUhA فَذَبَحُوهَا
kAdU كَادُوا
yafEalUn يَفْعَلُونَ
qotaltum قَتَلْتُمْ
nafsaN نَفْسًا
faddAroetum فَادَّارَأْتُمْ
muxrijumm مُخْرِجٌ
MribUhu اضْرِبُوهُ
bibaEMihA بِبَعْضِهَا
kacAlika كَذَٰلِكَ
yuHyil يُحْيِي
lahul اللَّهُ
mWtA الْمَوْتَىٰ
wayurIkum وَيُرِيكُمْ
eAyAtihI آيَاتِهِ
qosat قَسَتْ
qulUbukumm قُلُوبُكُمْ
fahiya فَهِيَ
kalHijAroti كَالْحِجَارَةِ
eaXaddu أَشَدُّ
qoswataww قَسْوَةً
waeinna وَإِنَّ
mina مِنَ
lHijAroti الْحِجَارَةِ
lamA لَمَا
yatafajjaru يَتَفَجَّرُ
minhul مِنْهُ
yaXXaqqoqu يَشَّقَّقُ
fayaxruju فَيَخْرُجُ
mAAeu الْمَاءُ
yahbipu يَهْبِطُ
xoXyatil خَشْيَةِ
wamAL وَمَا
Lahu اللَّهُ
bigOfilin بِغَافِلٍ
EammA عَمَّا
taEmalUn تَعْمَلُونَ
eafataPmaEUna أَفَتَطْمَعُونَ
yueminU يُؤْمِنُوا
waqoD وَقَدْ
kAna كَانَ
farIqumm فَرِيقٌ
minhum مِنْهُمْ
yasmaEUna يَسْمَعُونَ
kalAmaL كَلَامَ
yuHarrifUnahU يُحَرِّفُونَهُ
EaqolUhu عَقَلُوهُ
xolA خَلَا
baEMuhum بَعْضُهُمْ
baEMiN بَعْضٍ
eatuHaddivUnahummm أَتُحَدِّثُونَهُمْ
fataHaL فَتَحَ
liyuHAAAjjUkummm لِيُحَاجُّوكُمْ
eawalA أَوَلَا
yaElamUna يَعْلَمُونَ
eannaL أَنَّ
yaElamu يَعْلَمُ
yusirrUna يُسِرُّونَ
yuElinUn يُعْلِنُونَ
waminhum وَمِنْهُمْ
eummiyyUna أُمِّيُّونَ
yaElamUnal يَعْلَمُونَ
eamAniyya أَمَانِيَّ
waein وَإِنْ
yaZunnUn يَظُنُّونَ
fawYlul فَوَيْلٌ
lillacIna لِلَّذِينَ
yaktubUnal يَكْتُبُونَ
bieYdIhim بِأَيْدِيهِمْ
yaqUlUna يَقُولُونَ
hAcA هَٰذَا
EiNdil عِنْدِ
liyaXtarU لِيَشْتَرُوا
qolIlaN قَلِيلًا
katabat كَتَبَتْ
eYdIhim أَيْدِيهِمْ
wawYlul وَوَيْلٌ
yaksibUn يَكْسِبُونَ
waqOlU وَقَالُوا
laN لَنْ
tamassanAn تَمَسَّنَا
nAru النَّارُ
eayyAmamm أَيَّامًا
maEdUdataN مَعْدُودَةً
qul قُلْ
eattaxoctum أَتَّخَذْتُمْ
EiNdaL عِنْدَ
EahdaN عَهْدًا
falayy فَلَنْ
yuxlifaL يُخْلِفَ
EahdahUU عَهْدَهُ
taqUlUna تَقُولُونَ
EalaL عَلَى
balA بَلَىٰ
maN مَنْ
kasaba كَسَبَ
sayyieataww سَيِّئَةً
waeaHApot وَأَحَاطَتْ
xopIIeatuhU خَطِيئَتُهُ
faeulAAeika فَأُولَٰئِكَ
eaSHAbul أَصْحَابُ
jannati الْجَنَّةِ
mIvAqo مِيثَاقَ
banII بَنِي
taEbudUna تَعْبُدُونَ
eillAL إِلَّا
Laha اللَّهَ
wabilwAlidYni وَبِالْوَالِدَيْنِ
eiHsAnaww إِحْسَانًا
wacIl وَذِي
qurbA الْقُرْبَىٰ
walyatAmA وَالْيَتَامَىٰ
walmasAkIni وَالْمَسَاكِينِ
lilnnAsi لِلنَّاسِ
Husnaww حُسْنًا
tawallYtum تَوَلَّيْتُمْ
qolIlamm قَلِيلًا
waeaNtumm وَأَنْتُمْ
muEriMUn مُعْرِضُونَ
tasfikUna تَسْفِكُونَ
dimAAeakum دِمَاءَكُمْ
tuxrijUna تُخْرِجُونَ
eaNfusakumm أَنْفُسَكُمْ
diyArikum دِيَارِكُمْ
eaQrortum أَقْرَرْتُمْ
taXhadUn تَشْهَدُونَ
eaNtum أَنْتُمْ
taQtulUna تَقْتُلُونَ
watuxrijUna وَتُخْرِجُونَ
farIqomm فَرِيقًا
miNkumm مِنْكُمْ
diyArihim دِيَارِهِمْ
taZOharUna تَظَاهَرُونَ
EalYhimmm عَلَيْهِمْ
bileivmi بِالْإِثْمِ
walEuDwAni وَالْعُدْوَانِ
waeiyy وَإِنْ
yaetUkum يَأْتُوكُمْ
eusArO أُسَارَىٰ
tufAdUhum تُفَادُوهُمْ
