No.,Translation,Transliteration,Arabic
39,The Groups,Az Zumar ,سورة الزمر 
40,The Forgiver,Ghafir,سورة غافر 
41,They are Explained in Detail,Fussilat ,سورة فصّلت 
42,The Consultations,Ash-Shura ,سورة الشورى 
43,The Gold Adornments,Az Zukhruf ,سورة الزخرف 
44,The Smoke,Ad Dukhan ,سورة الدخان 
45,The Kneeling,Al Jathiyah ,سورة الجاثية 
46,The Curved Sand-Hills,Al Ahqaf ,سورة الأحقاف 
47,Muhammad S,Muhammad ,سورة محمّـد 
48,The Victory,Al Fath ,سورة الفتح 
49,The Dwellings,Al Hujurat ,سورة الحُـجُـرات 
50,Qaf,Qaf ,سورة ق 
51,The Winds that Scatter,Adh Dhariyat ,سورة الذاريات 
52,The Mount,At Tur ,سورة الـطور 
53,The Star,An Najm ,سورة الـنحـم 
54,The Moon,Al Qamar ,سورة الـقمـر 
55,The Most Gracious,Ar Rahman ,سورة الـرحـمـن 
56,The Event,Al Waqi'ah ,سورة الواقيـة 
57,Iron,Al Hadid ,سورة الحـديد 
58,The Woman Who Disputes,Al Mujadilah ,سورة الـمجادلـة 
59,The Gathering,Al Hashr ,سورة الـحـشـر 
60,The Woman to be examined,Al Mumtahanah ,سورة الـمـمـتـحنة 
61,The Row or Rank,As Saff ,سورة الـصّـف 
62,Friday,Al Jumu'ah ,سورة الـجـمـعـة 
63,The Hypocrites,Al Munafiqun ,سورة الـمنافقون 
64,Mutual Loss and Gain,At Taghabun ,سورة الـتغابن 
65,The Divorce,At Talaq ,سورة الـطلاق 
66,The Prohibition,At Tahrim ,سورة الـتحريم 
67,Dominion,Al Mulk ,سورة الـملك 
68,The Pen,Al Qalam ,سورة الـقـلـم 
69,The Inevitable,Al Haqqah ,سورة الـحاقّـة 
70,The Ways of Ascent,Al Ma'arij ,سورة الـمعارج 
71,Noah,Nuh ,سورة نوح 
72,The Jinn,Al Jinn ,سورة الجن 
73,The One Wraped in Garments,Al Muzzammil ,سورة الـمـزّمّـل 
74,The One Enveloped,Al Muddaththir ,سورة الـمّـدّثّـر 
75,The Resurrection,Al Qiyamah ,سورة الـقـيامـة 
76,Man or Time,Al Insan or Ad Dahar ,سورة الإنسان 
77,Those sent forth,Al Mursalat ,سورة الـمرسلات 
78,The Great News,"An Naba"" ",سورة الـنبإ 
79,Those Who Pull Out,An Nazi'at ,سورة الـنازعات 
80,He Frowned,'Abasa ,سورة عبس 
81,Wound Round and Lost its Light,At-Takwir ,سورة التكوير 
82,The Cleaving,Al Infitar ,سورة الانفطار 
83,Those Who Deal in Fraud,Al Mutaffifin ,سورة المطـفـفين 
84,The Splitting Asunder,Al Inshiqaq ,سورة الانشقاق 
85,The Big Stars,Al Buruj ,سورة البروج 
86,The Night Commer,At Tariq ,سورة الـطارق 
87,The Most High,Al A'la ,سورة الأعـلى 
88,The Overwhelming,Al Ghashiyah ,سورة الغاشـيـة 
89,The Break of Day or The Dawn,Al Fajr ,سورة الفجر 
90,The City,Al Balad ,سورة الـبلد 
91,The Sun,Ash-Shams ,سورة الـشـمـس 
92,The Night,Al Layl ,سورة اللـيـل 
93,The Forenoon ,AdDuha,سورة الضـحى 
94,The Opening Forth,Ash Sharh,سورة الـشرح 
95,The Fig,At Tin,سورة الـتين 
96,The Clot,Al 'Alaq ,سورة الـعلق 
97,The Night of Decree,Al Qadr ,سورة الـقدر 
98,The Clear Evidence,Al Bayyinah,سورة الـبينة 
99,The Earthquake,Az-Zalzalah ,سورة الـزلزلة 
100,Those That Run,Al 'Adiyat ,سورة الـعاديات 
101,The Striking Hour,Al Qari'ah,سورة الـقارعـة 
102,The Piling Up,At Takathur,سورة الـتكاثر 
103,The Time,Al 'Asr,سورة الـعصر 
104,The Slanderer,Al Humazah,سورة الـهمزة 
105,The Elephant,Al Fil,سورة الـفيل 
106,Quraysh,Quraysh,سورة قريش 
107,The Small Kindness,Al Ma'un ,سورة المـاعون 
108,The River in Paradise,Al Kawthar ,سورة الـكوثر 
109,The Disbelievers,Al Kafirun ,سورة الـكافرون 
110,The Help,An Nasr ,سورة الـنصر 
111,The Palm Fibre,Al Masad ,سورة الـمسد 
112,The Purity,Al Ikhlas,سورة الإخلاص 
113,The Daybreak,Al Falaq,سورة الـفلق 
114,Mankind,An Nas ,سورة الـناس
